ID,CURR_AGE,GENDER,ANN_INCOME,DT_MAINT
20710B05XL,54,M,1425390,4/20/2018
89602T51HX,47,M,1678954,6/8/2018
70190Z52IP,60,M,931624,7/31/2017
25623V15MU,55,F,1106320,7/31/2017
36230I68CE,32,F,748465,1/27/2019
11264G01HZ,48,F,1051927,11/24/2018
74250S23UO,26,F,1076402,9/22/2018
26735J66DB,45,F,1481949,4/5/2018
93404P60ED,55,M,1725607,1/2/2018
56557A36QV,64,F,312323,4/23/2018
38353F50LZ,53,M,546574,6/5/2019
54684T21RX,44,F,1203691,7/12/2017
46929E04HS,59,F,724688,6/22/2019
20647X82EQ,27,F,975130,3/5/2019
34956P25RT,57,F,1422399,4/14/2019
07090V20JQ,40,F,1558045,2/6/2018
78392T89DQ,33,M,669737,5/31/2019
07257K04CB,57,F,774593,12/31/2018
65658K80PS,59,F,993201,3/5/2019
69803K32CS,42,F,1050793,10/21/2016
49525O29YH,40,M,1598014,3/18/2018
25740R14MI,63,M,776801,7/25/2017
84250L43IB,47,F,1435495,4/5/2018
84258G83EV,28,F,787934,10/20/2018
53254B39QD,55,F,1867421,4/5/2019
97021A36QC,40,F,1005643,6/24/2019
47560Z98KV,44,F,1334503,4/18/2018
73529T58NE,64,M,342644,5/24/2018
30806A42VM,44,F,1227876,4/2/2019
00049S85RE,43,F,1370374,5/11/2019
26721D43SM,39,M,1381129,2/26/2017
82508W18LT,29,F,1141044,6/9/2019
80438M73AV,63,M,861120,4/14/2019
67814A83LG,51,M,1078531,6/9/2018
87070V97ZO,33,F,886139,5/24/2018
79093X41WL,45,F,881137,5/27/2019
80170A41DA,58,M,1807736,9/9/2018
92814K57MF,35,M,1010476,5/15/2017
67811V23ZL,63,F,913006,10/22/2017
49928Y38OE,62,F,916758,2/10/2017
60766Z46OD,61,F,1428077,8/12/2018
65221A93PY,54,M,854720,7/22/2018
67305F19BO,47,M,1005454,4/17/2018
11497L25KD,56,F,879059,3/27/2019
06436U96WN,33,F,703621,10/5/2018
00974O72DZ,59,F,742484,2/26/2019
09160K49TY,52,F,1920738,3/31/2019
75377M96JT,43,F,1406605,5/5/2018
50391O52JL,27,F,910269,6/4/2019
75750M01TD,40,M,1214651,3/17/2018
54602F44RW,62,F,1673206,2/5/2018
91724K12PZ,55,M,529060,8/26/2017
38941M59JI,56,F,1705657,4/1/2019
17962B28AZ,62,F,1593162,4/4/2019
05397B07CK,54,F,1437312,9/21/2018
86848B08CQ,62,F,1611444,7/1/2018
22906W78AL,60,M,1283300,12/1/2018
45389F82KX,38,F,1465158,1/13/2019
68241U65JO,58,M,1821776,4/8/2018
43891X14RC,59,M,1846298,12/3/2018
34587D00DA,58,M,1144551,1/8/2019
88616I11UH,36,F,1024701,4/1/2019
49122J54NF,29,M,979350,6/9/2018
61385H03VO,50,M,1661522,11/24/2018
58936R14SF,65,F,802717,10/21/2018
86220V54VN,49,F,1478918,8/10/2018
63676E09UO,25,F,1029303,8/11/2017
75890J70NO,64,F,1868972,8/10/2018
68606C11GV,56,M,1744071,12/17/2018
56034R95VA,48,M,1608586,9/29/2018
68007O74VG,53,M,626963,5/1/2018
72851J39QG,35,M,793369,6/11/2018
67768Z35EO,60,F,493015,9/28/2018
82032Y17OQ,53,M,921829,7/4/2018
25932M56LL,58,F,1071450,8/6/2018
77296E81ZM,48,M,1677550,2/20/2019
00749K03FQ,46,M,1421375,12/2/2016
92419C68FB,65,F,665345,6/28/2019
21589V78WG,56,M,535036,8/13/2018
75360O80DW,39,M,1579580,9/12/2018
21179R01JX,47,M,1318882,11/9/2018
78827Q35LL,49,F,826528,4/16/2018
93058B29OA,33,M,1250052,6/8/2018
57288I36BN,28,F,718407,5/27/2019
24427C44HL,60,M,1099822,1/30/2019
57769A43WJ,50,M,1444567,3/10/2018
55244P21JL,45,F,1383743,3/12/2018
10878C69QP,60,F,1274520,10/1/2018
00100T87PV,50,F,1555386,2/7/2018
10657V33HY,36,M,1779657,1/4/2017
35568Z72YA,46,F,1568521,7/2/2018
76439P77YY,28,M,1220202,10/27/2018
05814Y15VO,37,F,843116,6/1/2018
96427W84TS,29,F,1011093,6/14/2019
95829F20IU,54,F,1751467,9/22/2018
78491J25YN,50,F,1481056,3/9/2018
08349R64SN,51,F,1023285,10/26/2018
77707I89CB,42,F,1008314,5/30/2018
01439E69TI,37,F,946545,3/8/2017
37023S20ZM,46,F,1362399,9/18/2018
08736E08DD,30,M,1365515,2/1/2018
83877U15TB,42,F,1157465,4/20/2018
65904G65YK,34,M,768129,9/4/2018
61214G80ZN,55,F,879113,3/4/2019
