ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,PURCHASE,AGE_CAR_SEGMENT,GENDER_M,GENDER_F,SEGMENT_1,SEGMENT_2,SEGMENT_3,SEGMENT_4
00001Q15YJ,50,M,445344,439,0,3,1,0,False,False,True,False
00003I71CQ,35,M,107634,283,0,2,1,0,False,True,False,False
00003N47FS,59,F,502787,390,1,3,0,1,False,False,True,False
00005H41DE,43,M,585664,475,0,3,1,0,False,False,True,False
00007E17UM,39,F,705723,497,1,3,0,1,False,False,True,False
00007I26OR,28,F,389995,443,1,3,0,1,False,False,True,False
00015B11UO,54,M,85056,425,0,3,1,0,False,False,True,False
00020K99TA,28,F,453584,173,0,1,0,1,True,False,False,False
00020W72QC,25,F,324575,300,0,2,0,1,False,True,False,False
00022F48XA,47,M,363206,474,1,3,1,0,False,False,True,False
00026X43XZ,61,M,292983,210,0,2,1,0,False,True,False,False
00031Q27QZ,33,F,438941,100,1,1,0,1,True,False,False,False
00032B38ZX,50,M,478445,329,1,2,1,0,False,True,False,False
00033C02IM,25,M,277729,430,1,3,1,0,False,False,True,False
00034P01OK,45,M,385604,492,1,3,1,0,False,False,True,False
00038B31VO,51,F,159413,585,1,4,0,1,False,False,False,True
00039X03RX,25,M,227439,23,0,1,1,0,True,False,False,False
00040B49KN,43,M,572440,356,0,2,1,0,False,True,False,False
00040O73KD,35,M,240251,536,1,4,1,0,False,False,False,True
00045U73GK,58,F,205192,876,1,4,0,1,False,False,False,True
00049M22HG,35,M,108590,400,0,3,1,0,False,False,True,False
00052E59WH,53,F,436709,510,1,4,0,1,False,False,False,True
00056R56IH,53,F,370768,96,0,1,0,1,True,False,False,False
00057N31MO,30,F,396397,285,1,2,0,1,False,True,False,False
00059Q04KC,49,F,458992,265,0,2,0,1,False,True,False,False
00061K54RB,43,M,485917,273,1,2,1,0,False,True,False,False
00062R49DY,37,M,361216,243,0,2,1,0,False,True,False,False
00067S81IY,26,F,341240,377,0,3,0,1,False,False,True,False
00069Q75MB,35,F,277725,106,0,1,0,1,True,False,False,False
00069R58QN,51,M,607229,485,0,3,1,0,False,False,True,False
00070L09VD,40,M,328247,336,0,2,1,0,False,True,False,False
00073G60ML,64,F,358005,426,1,3,0,1,False,False,True,False
00074E80ZM,59,M,450981,258,1,2,1,0,False,True,False,False
00078B50YA,34,F,216371,231,0,2,0,1,False,True,False,False
00083A72KE,50,F,730685,406,1,3,0,1,False,False,True,False
00085N14CA,34,M,146852,357,0,2,1,0,False,True,False,False
00086Y65GU,65,F,420083,666,0,4,0,1,False,False,False,True
00088T31UB,51,F,131949,783,1,4,0,1,False,False,False,True
00090Q78CZ,62,F,136267,390,0,3,0,1,False,False,True,False
00091B82ZO,65,F,409160,228,1,2,0,1,False,True,False,False
00093J67SK,52,M,256962,139,0,1,1,0,True,False,False,False
00095Q17AL,25,F,365515,236,0,2,0,1,False,True,False,False
00099K86CW,62,M,682251,344,0,2,1,0,False,True,False,False
00101P10AC,47,M,184303,385,1,3,1,0,False,False,True,False
00104R23KJ,41,F,366200,370,1,3,0,1,False,False,True,False
00105P34KP,39,M,793683,943,1,4,1,0,False,False,False,True
00105Z55XB,28,F,134835,313,0,2,0,1,False,True,False,False
00107Y54OB,27,M,192229,805,1,4,1,0,False,False,False,True
00108X61TB,29,M,218007,431,1,3,1,0,False,False,True,False
00111A34ML,42,M,442952,213,0,2,1,0,False,True,False,False
00113N53ZL,59,M,669568,276,1,2,1,0,False,True,False,False
00115C31GT,25,F,387785,477,1,3,0,1,False,False,True,False
00118J08EC,47,F,275520,304,0,2,0,1,False,True,False,False
00122X31AB,58,F,401832,225,0,2,0,1,False,True,False,False
00124L11WJ,50,M,576933,132,1,1,1,0,True,False,False,False
00126P38RZ,59,M,396243,95,1,1,1,0,True,False,False,False
00127P24GO,37,M,234791,277,1,2,1,0,False,True,False,False
00129H75QI,58,F,311133,430,1,3,0,1,False,False,True,False
00130C94GP,33,M,296322,220,0,2,1,0,False,True,False,False
00137X41CD,49,M,363144,388,1,3,1,0,False,False,True,False
00139F51QE,46,M,315221,263,1,2,1,0,False,True,False,False
00140V89YT,36,M,779277,489,1,3,1,0,False,False,True,False
00141I56XV,40,F,292216,205,0,2,0,1,False,True,False,False
00142J61TJ,37,F,453501,95,0,1,0,1,True,False,False,False
00149E58QC,40,M,197281,436,1,3,1,0,False,False,True,False
00149V45IO,27,M,248446,640,1,4,1,0,False,False,False,True
00152W66MO,36,F,419744,93,0,1,0,1,True,False,False,False
00163W34YW,52,F,380120,407,1,3,0,1,False,False,True,False
00166U36NR,26,F,146413,202,0,2,0,1,False,True,False,False
00172I72UL,61,M,529399,850,1,4,1,0,False,False,False,True
00173Q33YX,60,F,150611,315,1,2,0,1,False,True,False,False
00174P76OQ,59,M,737673,525,1,4,1,0,False,False,False,True
00177D07HX,61,F,366653,748,0,4,0,1,False,False,False,True
00184X69JT,42,M,397493,241,1,2,1,0,False,True,False,False
00186P04PT,33,M,292406,323,0,2,1,0,False,True,False,False
00187N85DF,63,F,331237,433,1,3,0,1,False,False,True,False
00188E43DF,60,M,240020,258,1,2,1,0,False,True,False,False
00189M02HG,64,M,121018,311,0,2,1,0,False,True,False,False
00191S39KZ,46,M,373478,367,1,3,1,0,False,False,True,False
00195G41IU,32,F,384016,272,1,2,0,1,False,True,False,False
00195P25IN,30,F,213547,230,0,2,0,1,False,True,False,False
00195Q10ZP,35,M,257308,40,0,1,1,0,True,False,False,False
00197O44XP,34,M,282501,823,1,4,1,0,False,False,False,True
00198D05HX,51,F,252155,240,0,2,0,1,False,True,False,False
00198H12HX,57,M,480760,899,1,4,1,0,False,False,False,True
00198H71BB,26,M,132599,436,0,3,1,0,False,False,True,False
00201E56ZV,64,F,153181,275,0,2,0,1,False,True,False,False
00202X22MN,53,F,431624,296,0,2,0,1,False,True,False,False
00205O79UQ,38,M,498894,296,1,2,1,0,False,True,False,False
00209O01CF,65,F,97627,468,1,3,0,1,False,False,True,False
00213H22RL,37,M,324297,301,1,2,1,0,False,True,False,False
00214G18BG,49,F,547755,296,1,2,0,1,False,True,False,False
00214H08FS,31,F,405807,353,0,2,0,1,False,True,False,False
00218H09KC,65,F,159648,830,1,4,0,1,False,False,False,True
00218V46WS,62,F,105133,311,0,2,0,1,False,True,False,False
00221E71ZX,49,M,298254,266,1,2,1,0,False,True,False,False
00222P84OU,36,F,282392,462,1,3,0,1,False,False,True,False
00223L77HZ,63,M,414729,595,1,4,1,0,False,False,False,True
00226J79YI,59,M,412753,198,0,1,1,0,True,False,False,False
00227R80JC,47,M,398253,327,1,2,1,0,False,True,False,False
00228R68ZE,43,F,525024,479,1,3,0,1,False,False,True,False
00228Z35MR,43,M,405642,201,0,2,1,0,False,True,False,False
00230U63RP,54,F,92864,78,1,1,0,1,True,False,False,False
00232B56RM,55,F,308715,317,0,2,0,1,False,True,False,False
